Date,Country,LocalName,Name,Fixed
2015-01-01,Finland,Uudenvuodenpäivä,New Year's Day,True
2015-01-06,Finland,Loppiainen,Epiphany,True
2015-04-03,Finland,Pitkäperjantai,Good Friday,False
2015-04-05,Finland,Pääsiäispäivä,Easter Sunday,False
2015-04-06,Finland,2. pääsiäispäivä,Easter Monday,False
2015-05-01,Finland,Vappu,May Day,True
2015-05-14,Finland,Helatorstai,Ascension Day,False
2015-05-24,Finland,Helluntaipäivä,Pentecost,False
2015-06-19,Finland,Juhannusaatto,Midsummer Eve,False
2015-06-20,Finland,Juhannuspäivä,Midsummer Day,False
2015-10-31,Finland,Pyhäinpäivä,All Saints' Day,False
2015-12-06,Finland,Itsenäisyyspäivä,Independence Day,True
2015-12-24,Finland,Jouluaatto,Christmas Eve,True
2015-12-25,Finland,Joulupäivä,Christmas Day,True
2015-12-26,Finland,2. joulupäivä,St. Stephen's Day,True
2016-01-01,Finland,Uudenvuodenpäivä,New Year's Day,True
2016-01-06,Finland,Loppiainen,Epiphany,True
2016-03-25,Finland,Pitkäperjantai,Good Friday,False
2016-03-27,Finland,Pääsiäispäivä,Easter Sunday,False
2016-03-28,Finland,2. pääsiäispäivä,Easter Monday,False
2016-05-01,Finland,Vappu,May Day,True
2016-05-05,Finland,Helatorstai,Ascension Day,False
2016-05-15,Finland,Helluntaipäivä,Pentecost,False
2016-06-24,Finland,Juhannusaatto,Midsummer Eve,False
2016-06-25,Finland,Juhannuspäivä,Midsummer Day,False
2016-11-05,Finland,Pyhäinpäivä,All Saints' Day,False
2016-12-06,Finland,Itsenäisyyspäivä,Independence Day,True
2016-12-24,Finland,Jouluaatto,Christmas Eve,True
2016-12-25,Finland,Joulupäivä,Christmas Day,True
2016-12-26,Finland,2. joulupäivä,St. Stephen's Day,True
2017-01-01,Finland,Uudenvuodenpäivä,New Year's Day,True
2017-01-06,Finland,Loppiainen,Epiphany,True
2017-04-14,Finland,Pitkäperjantai,Good Friday,False
2017-04-16,Finland,Pääsiäispäivä,Easter Sunday,False
2017-04-17,Finland,2. pääsiäispäivä,Easter Monday,False
2017-05-01,Finland,Vappu,May Day,True
2017-05-25,Finland,Helatorstai,Ascension Day,False
2017-06-04,Finland,Helluntaipäivä,Pentecost,False
2017-06-23,Finland,Juhannusaatto,Midsummer Eve,False
2017-06-24,Finland,Juhannuspäivä,Midsummer Day,False
2017-11-04,Finland,Pyhäinpäivä,All Saints' Day,False
2017-12-06,Finland,Itsenäisyyspäivä,Independence Day,True
2017-12-24,Finland,Jouluaatto,Christmas Eve,True
2017-12-25,Finland,Joulupäivä,Christmas Day,True
2017-12-26,Finland,2. joulupäivä,St. Stephen's Day,True
2018-01-01,Finland,Uudenvuodenpäivä,New Year's Day,True
2018-01-06,Finland,Loppiainen,Epiphany,True
2018-03-30,Finland,Pitkäperjantai,Good Friday,False
2018-04-01,Finland,Pääsiäispäivä,Easter Sunday,False
2018-04-02,Finland,2. pääsiäispäivä,Easter Monday,False
2018-05-01,Finland,Vappu,May Day,True
2018-05-10,Finland,Helatorstai,Ascension Day,False
2018-05-20,Finland,Helluntaipäivä,Pentecost,False
2018-06-22,Finland,Juhannusaatto,Midsummer Eve,False
2018-06-23,Finland,Juhannuspäivä,Midsummer Day,False
2018-11-03,Finland,Pyhäinpäivä,All Saints' Day,False
2018-12-06,Finland,Itsenäisyyspäivä,Independence Day,True
2018-12-24,Finland,Jouluaatto,Christmas Eve,True
